"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"121824","18-06-26 04:00","World","World Cup - Final phase","2026","Uzbekistan","Colombia","10.60","5.35","1.34","1.02","13.80","1.20","4.61","1.70","2.23","2.62","1.49","4.82","1.18","2.12","1.73"
"121825","18-06-26 01:00","World","World Cup - Final phase","2026","Ghana","Panama","2.30","3.26","3.47","1.09","7.45","1.41","2.93","2.18","1.69","4.03","1.25","7.93","1.08","1.87","1.94"
"121826","17-06-26 22:00","World","World Cup - Final phase","2026","England","Croatia","1.66","3.96","5.67","1.05","10.60","1.29","3.62","1.96","1.90","3.33","1.33","6.18","1.12","1.87","1.94"
"121827","17-06-26 19:00","World","World Cup - Final phase","2026","Portugal","D.R. Congo","1.30","5.47","12.20","1.04","11.60","1.23","4.21","1.78","2.10","2.82","1.43","5.36","1.16","2.18","1.69"
"121820","17-06-26 06:00","World","World Cup - Final phase","2026","Austria","Jordan","1.42","4.84","8.58","1.04","11.60","1.25","3.95","1.86","2.01","3.15","1.36","5.82","1.14","2.12","1.73"
"121821","17-06-26 03:00","World","World Cup - Final phase","2026","Argentina","Algeria","1.56","4.07","7.04","1.05","10.60","1.29","3.62","1.96","1.90","3.43","1.31","6.57","1.11","2.03","1.79"
"121822","17-06-26 00:00","World","World Cup - Final phase","2026","Iraq","Norway","12.10","7.49","1.23","1.01","15.00","1.18","4.79","1.55","2.45","2.45","1.55","4.30","1.22","2.29","1.63"
"121823","16-06-26 21:00","World","World Cup - Final phase","2026","France","Senegal","1.51","4.59","6.63","1.01","12.70","1.18","4.79","1.60","2.34","2.45","1.55","4.82","1.18","1.73","2.10"
"121816","16-06-26 03:00","World","World Cup - Final phase","2026","Iran","New Zealand","1.85","3.49","4.91","1.10","6.91","1.44","2.79","2.36","1.59","4.30","1.22","9.41","1.06","2.12","1.73"
"121817","16-06-26 00:00","World","World Cup - Final phase","2026","Saudi Arabia","Uruguay","7.64","4.07","1.53","1.07","8.51","1.35","3.19","2.16","1.74","3.73","1.28","7.30","1.09","2.29","1.63"
"121818","15-06-26 21:00","World","World Cup - Final phase","2026","Belgium","Egypt","1.54","4.31","6.67","1.04","11.60","1.25","3.95","1.86","2.01","2.98","1.39","5.82","1.14","1.87","1.94"
"121819","15-06-26 18:00","World","World Cup - Final phase","2026","Spain","Cape Verde","1.07","13.00","26.00","1.01","25.00","1.07","8.42","1.28","3.68","1.78","2.10","2.65","1.49","2.29","1.63"
"121812","15-06-26 04:00","World","World Cup - Final phase","2026","Sweden","Tunisia","1.86","3.51","4.76","1.07","8.51","1.35","3.19","2.16","1.74","3.73","1.28","7.30","1.09","1.94","1.86"
"121813","15-06-26 01:00","World","World Cup - Final phase","2026","Ivory Coast","Ecuador","3.16","2.98","2.64","1.12","6.38","1.52","2.53","2.62","1.49","5.31","1.16","10.40","1.05","2.03","1.79"
"121814","14-06-26 22:00","World","World Cup - Final phase","2026","Netherlands","Japan","1.98","3.56","4.11","1.05","10.60","1.29","3.62","1.96","1.90","3.43","1.31","6.57","1.11","1.85","1.96"
"121815","14-06-26 19:00","World","World Cup - Final phase","2026","Germany","Curacao","1.03","17.00","41.00","1.01","34.00","1.05","10.60","1.18","4.79","1.48","2.66","2.09","1.74","2.92","1.41"
"121802","14-06-26 06:00","World","World Cup - Final phase","2026","Australia","Turkey","5.66","3.80","1.69","1.06","9.57","1.32","3.41","2.06","1.82","3.43","1.31","7.30","1.09","1.94","1.86"
"121801","14-06-26 03:00","World","World Cup - Final phase","2026","Haiti","Scotland","5.42","4.41","1.62","1.02","14.30","1.23","4.13","1.74","2.10","2.93","1.41","5.38","1.15","1.72","2.12"
"121800","14-06-26 00:00","World","World Cup - Final phase","2026","Brazil","Morocco","1.68","3.87","5.61","1.07","8.51","1.35","3.19","2.16","1.74","3.73","1.28","7.30","1.09","2.03","1.79"
"121799","13-06-26 21:00","World","World Cup - Final phase","2026","Qatar","Switzerland","15.20","7.61","1.20","1.02","13.80","1.20","4.61","1.70","2.23","2.62","1.49","4.82","1.18","2.68","1.47"
"121798","13-06-26 03:00","World","World Cup - Final phase","2026","USA","Paraguay","2.03","3.38","4.13","1.09","7.45","1.41","2.93","2.27","1.64","4.30","1.22","8.50","1.07","2.00","1.82"
"121797","12-06-26 21:00","World","World Cup - Final phase","2026","Canada","Bosnia & Herzegovina","1.80","3.57","5.15","1.06","9.47","1.33","3.37","2.18","1.73","3.77","1.27","7.37","1.09","1.87","1.94"
"121796","12-06-26 04:00","World","World Cup - Final phase","2026","South Korea","Czech Republic","2.46","3.15","3.25","1.07","8.42","1.33","3.37","2.18","1.73","3.77","1.27","7.37","1.09","1.74","2.09"
"121795","11-06-26 21:00","World","World Cup - Final phase","2026","Mexico","South Africa","1.45","4.42","8.68","1.08","8.51","1.43","2.93","2.23","1.69","4.22","1.24","8.74","1.08","2.39","1.58"
